* Sea-Bird SBE37 Data File:
* FileName = C:\BOEM\SB37\BOEMTest1_062923_063023\SB37_BOEMtest1.0.asc
* Software Version 1.59
* Temperature SN = 1308
* Conductivity SN = 1308
* System UpLoad Time = Jun 30 2023 14:31:26
** BOEMTest1
* ds
* SBE37-SM V 2.6b  SERIAL NO. 1308    30 Jun 2023  14:30:51
* not logging: received stop command
* sample interval = 60 seconds
* samplenumber = 1705, free = 188945
* do not transmit real-time data
* output salinity with each sample
* do not output sound velocity with each sample
* store time with each sample
* number of samples to average = 1
* serial sync mode disabled
* wait time after serial sync sampling = 30 seconds
* internal pump is installed
* temperature = 25.75 deg C

* S>
* SBE37-SM V 2.6b  1308
* temperature:  09-jan-14
*     TA0 = -1.041479e-04
*     TA1 = 3.070688e-04
*     TA2 = -4.447841e-06
*     TA3 = 1.996867e-07
* conductivity:  09-jan-14
*     G = -1.052229e+00
*     H = 1.583344e-01
*     I = -3.976814e-05
*     J = 3.120246e-05
*     CPCOR = -9.570000e-08
*     CTCOR = 3.250000e-06
*     WBOTC = -2.976320e-05
* pressure S/N 3804072, range = 160 psia:  06-jan-14
*     PA0 = -1.023833e-01
*     PA1 = 6.955435e-03
*     PA2 = -1.840500e-09
*     PTCA0 = 8.236864e+01
*     PTCA1 = -7.817787e-01
*     PTCA2 = 4.657767e-03
*     PTCSB0 = 2.503525e+01
*     PTCSB1 = -5.500000e-04
*     PTCSB2 = 0.000000e+00
*     POFFSET = 0.000000e+00
* rtc:  09-jan-14
*     RTCA0 = 1.000002e+00
*     RTCA1 = 1.631725e-06
*     RTCA2 = -3.431964e-08

* S> 
*END*
start time =  29 Jun 2023  10:00:01
sample interval = 60 seconds
start sample number = 1
 31.1946, 0.00023,   -0.013,   0.0139, 29 Jun 2023, 10:00:01
 31.1462, 0.00024,   -0.013,   0.0139, 29 Jun 2023, 10:01:01
 30.7261, 0.00025,   -0.015,   0.0138, 29 Jun 2023, 10:02:01
 32.6478, 0.00020,   -0.009,   0.0143, 29 Jun 2023, 10:03:01
 33.4919, 0.00016,   -0.008,   0.0145, 29 Jun 2023, 10:04:01
 33.4774, 0.00015,   -0.008,   0.0145, 29 Jun 2023, 10:05:01
 26.3640, 5.54480,   14.739,  35.6814, 29 Jun 2023, 10:06:01
 26.4074, 5.47602,   14.867,  35.1500, 29 Jun 2023, 10:07:01
 26.3753, 5.41215,   14.847,  34.7130, 29 Jun 2023, 10:08:01
 26.3601, 5.38829,   14.924,  34.5522, 29 Jun 2023, 10:09:01
 26.3620, 5.37417,   14.838,  34.4489, 29 Jun 2023, 10:10:01
 26.3579, 5.36453,   14.905,  34.3825, 29 Jun 2023, 10:11:01
 26.3592, 5.36301,   14.863,  34.3706, 29 Jun 2023, 10:12:01
 26.3586, 5.37935,   14.782,  34.4889, 29 Jun 2023, 10:13:01
 26.3605, 5.37654,   14.883,  34.4671, 29 Jun 2023, 10:14:01
 26.3611, 5.38984,   14.930,  34.5626, 29 Jun 2023, 10:15:01
 26.3600, 5.37869,   14.926,  34.4830, 29 Jun 2023, 10:16:01
 26.3610, 5.37612,   14.926,  34.4637, 29 Jun 2023, 10:17:01
 26.3614, 5.37900,   14.802,  34.4842, 29 Jun 2023, 10:18:01
 26.3604, 5.38219,   14.865,  34.5080, 29 Jun 2023, 10:19:01
 26.3593, 5.38383,   15.013,  34.5206, 29 Jun 2023, 10:20:01
 26.3605, 5.38890,   14.948,  34.5563, 29 Jun 2023, 10:21:01
 26.3582, 5.37209,   14.951,  34.4367, 29 Jun 2023, 10:22:01
 26.3586, 5.38184,   14.757,  34.5068, 29 Jun 2023, 10:23:01
 26.3613, 5.40132,   14.840,  34.6454, 29 Jun 2023, 10:24:01
 26.3610, 5.40024,   15.020,  34.6377, 29 Jun 2023, 10:25:01
 26.3614, 5.40004,   14.822,  34.6360, 29 Jun 2023, 10:26:01
 26.3616, 5.41673,   14.860,  34.7564, 29 Jun 2023, 10:27:01
 26.3614, 5.42863,   14.986,  34.8424, 29 Jun 2023, 10:28:01
 26.3657, 5.42889,   14.919,  34.8411, 29 Jun 2023, 10:29:01
 26.3631, 5.43277,   14.615,  34.8712, 29 Jun 2023, 10:30:01
 26.3637, 5.43606,   14.887,  34.8944, 29 Jun 2023, 10:31:01
 26.3666, 5.45147,   14.795,  35.0036, 29 Jun 2023, 10:32:01
 26.3647, 5.43507,   14.327,  34.8867, 29 Jun 2023, 10:33:01
 26.3668, 5.45043,   14.984,  34.9959, 29 Jun 2023, 10:34:01
 26.3692, 5.45643,   14.759,  35.0375, 29 Jun 2023, 10:35:01
 26.3687, 5.46161,   14.996,  35.0753, 29 Jun 2023, 10:36:01
 26.3719, 5.46062,   14.959,  35.0657, 29 Jun 2023, 10:37:01
 26.3724, 5.47260,   14.932,  35.1520, 29 Jun 2023, 10:38:01
 26.3726, 5.45659,   14.665,  35.0361, 29 Jun 2023, 10:39:01
 26.3730, 5.47846,   14.829,  35.1939, 29 Jun 2023, 10:40:01
 26.3745, 5.48041,   14.955,  35.2068, 29 Jun 2023, 10:41:01
 26.3767, 5.48203,   15.029,  35.2169, 29 Jun 2023, 10:42:01
 26.3779, 5.48297,   14.861,  35.2228, 29 Jun 2023, 10:43:01
 26.3772, 5.48113,   14.770,  35.2100, 29 Jun 2023, 10:44:01
