Station Name, Lat, Lon
BHIS, 33.832177, -77.997103
S1BUOY, 33.792267, -77.984175
S1ANCHOR, 33.791735,-77.9846417
S1DIVE, 33.791387, -77.98475833
S1, 33.7914433, -77.9847817
S1-V2, 33.791307, -77.984805
AVG of S1ANCHOR S1DIVE S1 and S1-V2, 33.791468075, -77.9847466825
S0ANCHOR, 33.7288683, -77.9414083
S0BUOY, 33.72841167, -77.9414183
S0, 33.72861167, -77.9417067
AVG of S0ANCHOR and S0, 33.728739985, -77.94155750
C0BUOY, 33.6611883, -77.8905267
C0, 33.6606933, -77.890715
C0-V2, 33.6605567, -77.89095
AVG of C0 and C0-V2, 33.660625, -77.89083250
E0BUOY, 33.73654167, -77.9029283
E0, 33.73622167, -77.9027133
E0-V2, 33.7357083,-77.903440
AVG of E0 and E0-V2,33.735964985,-77.90307665
E1BUOY, 33.8034617, -77.931407
E1, 33.8031217, -77.9318083
FPS15,33.825495, -77.829373
HY1, 33.6607433, -77.890583
