* Sea-Bird SBE37 Data File:
* FileName = C:\Users\ajm8808\OneDrive - UNC-Wilmington\Documents\FPS_ADCP\SeaBird37\Post-Processing\3hrtest.asc
* Software Version 1.59
* Temperature SN = 1308
* Conductivity SN = 1308
* System UpLoad Time = Jun 21 2023 13:29:12
* ds
* SBE37-SM V 2.6b  SERIAL NO. 1308    21 Jun 2023  13:27:54
* not logging: received stop command
* sample interval = 60 seconds
* samplenumber = 219, free = 190431
* do not transmit real-time data
* output salinity with each sample
* do not output sound velocity with each sample
* store time with each sample
* number of samples to average = 1
* serial sync mode disabled
* wait time after serial sync sampling = 30 seconds
* internal pump is installed
* temperature = 28.89 deg C

* S>
* SBE37-SM V 2.6b  1308
* temperature:  09-jan-14
*     TA0 = -1.041479e-04
*     TA1 = 3.070688e-04
*     TA2 = -4.447841e-06
*     TA3 = 1.996867e-07
* conductivity:  09-jan-14
*     G = -1.052229e+00
*     H = 1.583344e-01
*     I = -3.976814e-05
*     J = 3.120246e-05
*     CPCOR = -9.570000e-08
*     CTCOR = 3.250000e-06
*     WBOTC = -2.976320e-05
* pressure S/N 3804072, range = 160 psia:  06-jan-14
*     PA0 = -1.023833e-01
*     PA1 = 6.955435e-03
*     PA2 = -1.840500e-09
*     PTCA0 = 8.236864e+01
*     PTCA1 = -7.817787e-01
*     PTCA2 = 4.657767e-03
*     PTCSB0 = 2.503525e+01
*     PTCSB1 = -5.500000e-04
*     PTCSB2 = 0.000000e+00
*     POFFSET = 0.000000e+00
* rtc:  09-jan-14
*     RTCA0 = 1.000002e+00
*     RTCA1 = 1.631725e-06
*     RTCA2 = -3.431964e-08

* S> 
*END*
start time =  21 Jun 2023  09:47:34
sample interval = 60 seconds
start sample number = 1
 20.7305,-0.00003,   -0.083,   0.0000, 21 Jun 2023, 09:47:34
 20.7474,-0.00003,   -0.081,   0.0000, 21 Jun 2023, 09:48:34
 20.7480,-0.00003,   -0.081,   0.0000, 21 Jun 2023, 09:49:34
 23.6270,-0.00013,   -0.001,   0.0000, 21 Jun 2023, 09:50:34
 23.6057, 0.00530,   -0.008,   0.0315, 21 Jun 2023, 09:51:34
 23.6248, 0.00420,   -0.015,   0.0267, 21 Jun 2023, 09:52:34
 23.5338, 0.00237,   -0.017,   0.0190, 21 Jun 2023, 09:53:34
 23.6121, 0.00237,   -0.017,   0.0190, 21 Jun 2023, 09:54:34
 23.5950, 0.01985,   -0.017,   0.0993, 21 Jun 2023, 09:55:34
 23.5490, 0.00450,   -0.017,   0.0280, 21 Jun 2023, 09:56:34
 25.8629, 5.14532,    0.149,  33.1676, 21 Jun 2023, 09:57:34
 26.0418, 5.17895,    0.147,  33.2809, 21 Jun 2023, 09:58:34
 26.0483, 5.18707,    0.147,  33.3348, 21 Jun 2023, 09:59:34
 26.1289, 5.19535,    0.147,  33.3360, 21 Jun 2023, 10:00:34
 26.2186, 5.21348,    0.147,  33.4015, 21 Jun 2023, 10:01:34
 26.2831, 5.22275,    0.147,  33.4213, 21 Jun 2023, 10:02:34
 26.3217, 5.23336,    0.149,  33.4695, 21 Jun 2023, 10:03:34
 26.3459, 5.23976,    0.149,  33.4979, 21 Jun 2023, 10:04:34
 26.3694, 5.25390,    0.149,  33.5823, 21 Jun 2023, 10:05:34
 26.3891, 5.26257,    0.151,  33.6302, 21 Jun 2023, 10:06:34
 26.4017, 5.26891,    0.151,  33.6666, 21 Jun 2023, 10:07:34
 26.4120, 5.27661,    0.151,  33.7143, 21 Jun 2023, 10:08:34
 26.3975, 5.27462,    0.152,  33.7107, 21 Jun 2023, 10:09:34
 26.3958, 5.27768,    0.152,  33.7339, 21 Jun 2023, 10:10:34
 26.4088, 5.27879,    0.152,  33.7323, 21 Jun 2023, 10:11:34
 26.4210, 5.28427,    0.152,  33.7628, 21 Jun 2023, 10:12:34
 26.4235, 5.29374,    0.152,  33.8289, 21 Jun 2023, 10:13:34
 26.4337, 5.29822,    0.152,  33.8536, 21 Jun 2023, 10:14:34
 26.4354, 5.29604,    0.154,  33.8367, 21 Jun 2023, 10:15:34
 26.4352, 5.30019,    0.152,  33.8667, 21 Jun 2023, 10:16:34
 26.4434, 5.30249,    0.154,  33.8772, 21 Jun 2023, 10:17:34
 26.4485, 5.30404,    0.154,  33.8846, 21 Jun 2023, 10:18:34
 26.4531, 5.30648,    0.154,  33.8987, 21 Jun 2023, 10:19:34
 26.4544, 5.31025,    0.152,  33.9248, 21 Jun 2023, 10:20:34
 26.4601, 5.31198,    0.152,  33.9331, 21 Jun 2023, 10:21:34
 26.4630, 5.31376,    0.152,  33.9437, 21 Jun 2023, 10:22:34
 26.4608, 5.31500,    0.152,  33.9542, 21 Jun 2023, 10:23:34
 26.4641, 5.31855,    0.152,  33.9773, 21 Jun 2023, 10:24:34
 26.4688, 5.31856,    0.152,  33.9739, 21 Jun 2023, 10:25:34
 26.4590, 5.32040,    0.152,  33.9943, 21 Jun 2023, 10:26:34
 26.4691, 5.32266,    0.152,  34.0031, 21 Jun 2023, 10:27:34
 26.4718, 5.32346,    0.152,  34.0069, 21 Jun 2023, 10:28:34
 26.4705, 5.32369,    0.152,  34.0095, 21 Jun 2023, 10:29:34
 26.4722, 5.32692,    0.154,  34.0315, 21 Jun 2023, 10:30:34
 26.4701, 5.32702,    0.154,  34.0337, 21 Jun 2023, 10:31:34
 26.4701, 5.32844,    0.154,  34.0439, 21 Jun 2023, 10:32:34
 26.4738, 5.32842,    0.154,  34.0410, 21 Jun 2023, 10:33:34
 26.4713, 5.33025,    0.154,  34.0560, 21 Jun 2023, 10:34:34
 26.4744, 5.33169,    0.152,  34.0641, 21 Jun 2023, 10:35:34
 26.4739, 5.33158,    0.152,  34.0637, 21 Jun 2023, 10:36:34
 26.4722, 5.33316,    0.152,  34.0763, 21 Jun 2023, 10:37:34
 26.4738, 5.33421,    0.154,  34.0826, 21 Jun 2023, 10:38:34
 26.4724, 5.33448,    0.156,  34.0856, 21 Jun 2023, 10:39:34
 26.4737, 5.33553,    0.156,  34.0922, 21 Jun 2023, 10:40:34
 26.4731, 5.33576,    0.156,  34.0943, 21 Jun 2023, 10:41:34
 26.4735, 5.33725,    0.156,  34.1047, 21 Jun 2023, 10:42:34
 26.4676, 5.33898,    0.156,  34.1215, 21 Jun 2023, 10:43:34
 26.4721, 5.33943,    0.156,  34.1214, 21 Jun 2023, 10:44:34
 26.4701, 5.34089,    0.156,  34.1334, 21 Jun 2023, 10:45:34
 26.4732, 5.34077,    0.156,  34.1302, 21 Jun 2023, 10:46:34
 26.4724, 5.34168,    0.156,  34.1373, 21 Jun 2023, 10:47:34
 26.4706, 5.34162,    0.156,  34.1382, 21 Jun 2023, 10:48:34
 26.4724, 5.34272,    0.156,  34.1448, 21 Jun 2023, 10:49:34
 26.4724, 5.34354,    0.156,  34.1507, 21 Jun 2023, 10:50:34
 26.4729, 5.34450,    0.156,  34.1572, 21 Jun 2023, 10:51:34
 26.4704, 5.34545,    0.158,  34.1659, 21 Jun 2023, 10:52:34
 26.4709, 5.34595,    0.158,  34.1692, 21 Jun 2023, 10:53:34
 26.4736, 5.34674,    0.158,  34.1728, 21 Jun 2023, 10:54:34
 26.4711, 5.34789,    0.158,  34.1829, 21 Jun 2023, 10:55:34
 26.4679, 5.34852,    0.158,  34.1898, 21 Jun 2023, 10:56:34
 26.4720, 5.34918,    0.158,  34.1916, 21 Jun 2023, 10:57:34
 26.4706, 5.34927,    0.158,  34.1932, 21 Jun 2023, 10:58:34
 26.4673, 5.34967,    0.156,  34.1986, 21 Jun 2023, 10:59:34
 26.4691, 5.35088,    0.156,  34.2059, 21 Jun 2023, 11:00:34
 26.4671, 5.35140,    0.156,  34.2111, 21 Jun 2023, 11:01:34
 26.4673, 5.35182,    0.156,  34.2140, 21 Jun 2023, 11:02:34
 26.4661, 5.35301,    0.156,  34.2235, 21 Jun 2023, 11:03:34
 26.4625, 5.35265,    0.156,  34.2235, 21 Jun 2023, 11:04:34
 26.4630, 5.35331,    0.156,  34.2279, 21 Jun 2023, 11:05:34
 26.4644, 5.35355,    0.154,  34.2286, 21 Jun 2023, 11:06:34
 26.4617, 5.35418,    0.154,  34.2351, 21 Jun 2023, 11:07:34
 26.4612, 5.35497,    0.154,  34.2412, 21 Jun 2023, 11:08:34
 26.4601, 5.35644,    0.154,  34.2526, 21 Jun 2023, 11:09:34
 26.4605, 5.35581,    0.156,  34.2478, 21 Jun 2023, 11:10:34
 26.4594, 5.35634,    0.156,  34.2524, 21 Jun 2023, 11:11:34
 26.4570, 5.35805,    0.154,  34.2665, 21 Jun 2023, 11:12:34
 26.4573, 5.35734,    0.154,  34.2611, 21 Jun 2023, 11:13:34
 26.4539, 5.35697,    0.154,  34.2610, 21 Jun 2023, 11:14:34
 26.4453, 5.35858,    0.154,  34.2790, 21 Jun 2023, 11:15:34
 26.4518, 5.35870,    0.154,  34.2750, 21 Jun 2023, 11:16:34
 26.4537, 5.35879,    0.154,  34.2742, 21 Jun 2023, 11:17:34
 26.4502, 5.36022,    0.156,  34.2871, 21 Jun 2023, 11:18:34
 26.4510, 5.36037,    0.156,  34.2876, 21 Jun 2023, 11:19:34
 26.4492, 5.36102,    0.156,  34.2936, 21 Jun 2023, 11:20:34
 26.4506, 5.36212,    0.156,  34.3005, 21 Jun 2023, 11:21:34
 26.4434, 5.36146,    0.154,  34.3011, 21 Jun 2023, 11:22:34
 26.4525, 5.36247,    0.156,  34.3016, 21 Jun 2023, 11:23:34
 26.4532, 5.36366,    0.156,  34.3097, 21 Jun 2023, 11:24:34
 26.4491, 5.36380,    0.156,  34.3137, 21 Jun 2023, 11:25:34
 26.4504, 5.36445,    0.156,  34.3174, 21 Jun 2023, 11:26:34
 26.4547, 5.36450,    0.156,  34.3146, 21 Jun 2023, 11:27:34
 26.4514, 5.36520,    0.156,  34.3221, 21 Jun 2023, 11:28:34
 26.4512, 5.36626,    0.156,  34.3299, 21 Jun 2023, 11:29:34
 26.4522, 5.36619,    0.156,  34.3286, 21 Jun 2023, 11:30:34
 26.4605, 5.36706,    0.156,  34.3287, 21 Jun 2023, 11:31:34
 26.4586, 5.36838,    0.154,  34.3396, 21 Jun 2023, 11:32:34
 26.4588, 5.36871,    0.154,  34.3418, 21 Jun 2023, 11:33:34
 26.4576, 5.36980,    0.154,  34.3506, 21 Jun 2023, 11:34:34
 26.4605, 5.37008,    0.154,  34.3504, 21 Jun 2023, 11:35:34
 26.4610, 5.37092,    0.156,  34.3561, 21 Jun 2023, 11:36:34
 26.4633, 5.37189,    0.154,  34.3614, 21 Jun 2023, 11:37:34
 26.4616, 5.37265,    0.154,  34.3681, 21 Jun 2023, 11:38:34
 26.4647, 5.37307,    0.154,  34.3688, 21 Jun 2023, 11:39:34
 26.4641, 5.37277,    0.154,  34.3671, 21 Jun 2023, 11:40:34
 26.4658, 5.37430,    0.156,  34.3768, 21 Jun 2023, 11:41:34
 26.4664, 5.37501,    0.154,  34.3815, 21 Jun 2023, 11:42:34
 26.4626, 5.37595,    0.154,  34.3911, 21 Jun 2023, 11:43:34
 26.4674, 5.37700,    0.154,  34.3951, 21 Jun 2023, 11:44:34
 26.4708, 5.37714,    0.156,  34.3935, 21 Jun 2023, 11:45:34
 26.4728, 5.37802,    0.154,  34.3984, 21 Jun 2023, 11:46:34
 26.4714, 5.37901,    0.154,  34.4065, 21 Jun 2023, 11:47:34
 26.4675, 5.38033,    0.156,  34.4190, 21 Jun 2023, 11:48:34
 26.4748, 5.37971,    0.156,  34.4090, 21 Jun 2023, 11:49:34
 26.4747, 5.38022,    0.156,  34.4128, 21 Jun 2023, 11:50:34
 26.4744, 5.38137,    0.156,  34.4213, 21 Jun 2023, 11:51:34
 26.4742, 5.38185,    0.156,  34.4249, 21 Jun 2023, 11:52:34
 26.4783, 5.38277,    0.156,  34.4285, 21 Jun 2023, 11:53:34
 26.4844, 5.38395,    0.156,  34.4324, 21 Jun 2023, 11:54:34
 26.4856, 5.38428,    0.156,  34.4339, 21 Jun 2023, 11:55:34
 26.4853, 5.38517,    0.156,  34.4405, 21 Jun 2023, 11:56:34
 26.4900, 5.38543,    0.156,  34.4388, 21 Jun 2023, 11:57:34
 26.4821, 5.38709,    0.156,  34.4567, 21 Jun 2023, 11:58:34
 26.4944, 5.38680,    0.156,  34.4454, 21 Jun 2023, 11:59:34
 26.4945, 5.38773,    0.156,  34.4520, 21 Jun 2023, 12:00:34
 26.4953, 5.38804,    0.156,  34.4537, 21 Jun 2023, 12:01:34
 26.4968, 5.38806,    0.154,  34.4527, 21 Jun 2023, 12:02:34
 26.4990, 5.38944,    0.156,  34.4610, 21 Jun 2023, 12:03:34
 26.5000, 5.38962,    0.154,  34.4615, 21 Jun 2023, 12:04:34
 26.5009, 5.38922,    0.154,  34.4580, 21 Jun 2023, 12:05:34
 26.5002, 5.39081,    0.154,  34.4699, 21 Jun 2023, 12:06:34
 26.4995, 5.39114,    0.154,  34.4728, 21 Jun 2023, 12:07:34
 26.5000, 5.39206,    0.154,  34.4791, 21 Jun 2023, 12:08:34
 26.5042, 5.39189,    0.154,  34.4747, 21 Jun 2023, 12:09:34
 26.5052, 5.39285,    0.152,  34.4809, 21 Jun 2023, 12:10:34
 26.5075, 5.39274,    0.152,  34.4784, 21 Jun 2023, 12:11:34
 26.5085, 5.39299,    0.152,  34.4794, 21 Jun 2023, 12:12:34
 26.5096, 5.39402,    0.152,  34.4860, 21 Jun 2023, 12:13:34
 26.5125, 5.39352,    0.152,  34.4802, 21 Jun 2023, 12:14:34
 26.5100, 5.39501,    0.152,  34.4928, 21 Jun 2023, 12:15:34
 26.5136, 5.39472,    0.152,  34.4881, 21 Jun 2023, 12:16:34
 26.5173, 5.39506,    0.152,  34.4877, 21 Jun 2023, 12:17:34
 26.5197, 5.39567,    0.152,  34.4903, 21 Jun 2023, 12:18:34
 26.5205, 5.39589,    0.152,  34.4913, 21 Jun 2023, 12:19:34
 26.5204, 5.39657,    0.152,  34.4963, 21 Jun 2023, 12:20:34
 26.5255, 5.39749,    0.152,  34.4991, 21 Jun 2023, 12:21:34
 26.5294, 5.39787,    0.152,  34.4989, 21 Jun 2023, 12:22:34
 26.5301, 5.39816,    0.152,  34.5005, 21 Jun 2023, 12:23:34
 26.5287, 5.39853,    0.154,  34.5042, 21 Jun 2023, 12:24:34
 26.5419, 5.39886,    0.154,  34.4967, 21 Jun 2023, 12:25:34
 26.5469, 5.39947,    0.154,  34.4973, 21 Jun 2023, 12:26:34
 26.5479, 5.40026,    0.154,  34.5023, 21 Jun 2023, 12:27:34
 26.5475, 5.39949,    0.154,  34.4970, 21 Jun 2023, 12:28:34
 26.5550, 5.39982,    0.154,  34.4938, 21 Jun 2023, 12:29:34
 26.5597, 5.40061,    0.154,  34.4960, 21 Jun 2023, 12:30:34
 26.5546, 5.40177,    0.152,  34.5081, 21 Jun 2023, 12:31:34
 26.5595, 5.40120,    0.154,  34.5003, 21 Jun 2023, 12:32:34
 26.5757, 5.40259,    0.154,  34.4982, 21 Jun 2023, 12:33:34
 26.5718, 5.40229,    0.152,  34.4990, 21 Jun 2023, 12:34:34
 26.5811, 5.40358,    0.152,  34.5013, 21 Jun 2023, 12:35:34
 26.5948, 5.40385,    0.152,  34.4930, 21 Jun 2023, 12:36:34
 26.6028, 5.40425,    0.152,  34.4899, 21 Jun 2023, 12:37:34
 26.6145, 5.40466,    0.152,  34.4841, 21 Jun 2023, 12:38:34
 26.6164, 5.40536,    0.152,  34.4877, 21 Jun 2023, 12:39:34
 26.6219, 5.40619,    0.152,  34.4896, 21 Jun 2023, 12:40:34
 26.6296, 5.40596,    0.152,  34.4822, 21 Jun 2023, 12:41:34
 26.6367, 5.40621,    0.152,  34.4787, 21 Jun 2023, 12:42:34
 26.6520, 5.40751,    0.152,  34.4766, 21 Jun 2023, 12:43:34
 26.6390, 5.40745,    0.152,  34.4859, 21 Jun 2023, 12:44:34
 26.6608, 5.40824,    0.152,  34.4753, 21 Jun 2023, 12:45:34
 26.6694, 5.40911,    0.154,  34.4751, 21 Jun 2023, 12:46:34
 26.6764, 5.40877,    0.154,  34.4675, 21 Jun 2023, 12:47:34
 26.6866, 5.41086,    0.154,  34.4748, 21 Jun 2023, 12:48:34
